rRP_x,rRP_y,lRP_x,lRP_y,rFP_x,rFP_y,lFP_x,lFP_y,tail_x,tail_y,head_x,head_y,neck_x,neck_y,spine_x,spine_y
115.0,198.0,139.0,198.0,123.0,236.0,139.0,235.0,124.0,176.0,132.0,251.0,131.0,236.0,131.0,206.0
116.0,198.0,139.0,199.0,123.0,236.0,139.0,236.0,131.0,183.0,131.0,258.0,131.0,243.0,131.0,213.0
123.0,205.0,140.0,206.0,123.0,251.0,132.0,251.0,132.0,191.0,131.0,259.0,124.0,251.0,131.0,221.0
123.0,213.0,140.0,213.0,123.0,251.0,140.0,251.0,132.0,198.0,131.0,266.0,124.0,258.0,132.0,228.0
123.0,221.0,147.0,228.0,123.0,259.0,140.0,258.0,132.0,205.0,132.0,281.0,132.0,266.0,132.0,236.0
116.0,229.0,140.0,228.0,124.0,266.0,147.0,266.0,131.0,213.0,139.0,281.0,132.0,273.0,131.0,243.0
116.0,243.0,140.0,243.0,123.0,273.0,140.0,273.0,132.0,221.0,139.0,288.0,132.0,274.0,131.0,250.0
116.0,243.0,140.0,243.0,124.0,281.0,140.0,281.0,132.0,228.0,132.0,296.0,132.0,281.0,132.0,258.0
123.0,251.0,147.0,258.0,124.0,288.0,147.0,288.0,132.0,235.0,139.0,304.0,139.0,288.0,132.0,265.0
123.0,258.0,147.0,258.0,124.0,295.0,147.0,295.0,132.0,236.0,139.0,311.0,132.0,296.0,132.0,266.0
123.0,258.0,140.0,258.0,124.0,296.0,147.0,296.0,131.0,236.0,132.0,318.0,132.0,303.0,132.0,273.0
124.0,266.0,147.0,273.0,124.0,303.0,147.0,310.0,132.0,251.0,132.0,326.0,132.0,311.0,132.0,281.0
124.0,274.0,147.0,280.0,124.0,311.0,147.0,311.0,139.0,258.0,139.0,333.0,132.0,318.0,132.0,288.0
124.0,281.0,147.0,288.0,124.0,318.0,140.0,318.0,139.0,266.0,139.0,341.0,139.0,326.0,132.0,296.0
123.0,288.0,147.0,289.0,124.0,326.0,147.0,326.0,132.0,273.0,139.0,341.0,139.0,326.0,132.0,296.0
123.0,288.0,147.0,296.0,124.0,326.0,147.0,326.0,139.0,280.0,139.0,348.0,132.0,333.0,132.0,303.0
123.0,296.0,147.0,303.0,124.0,326.0,147.0,333.0,139.0,281.0,139.0,348.0,139.0,334.0,132.0,303.0
123.0,296.0,147.0,303.0,131.0,333.0,147.0,333.0,132.0,281.0,139.0,355.0,139.0,341.0,132.0,310.0
123.0,310.0,147.0,311.0,124.0,341.0,147.0,340.0,139.0,288.0,139.0,356.0,139.0,341.0,132.0,311.0
124.0,311.0,147.0,311.0,131.0,341.0,147.0,341.0,139.0,295.0,139.0,363.0,139.0,348.0,139.0,318.0
124.0,318.0,147.0,318.0,124.0,348.0,147.0,348.0,139.0,296.0,139.0,371.0,132.0,356.0,139.0,326.0
124.0,318.0,148.0,319.0,124.0,349.0,147.0,356.0,139.0,296.0,139.0,371.0,132.0,356.0,139.0,326.0
131.0,318.0,148.0,333.0,124.0,356.0,147.0,356.0,139.0,303.0,139.0,378.0,139.0,363.0,139.0,326.0
124.0,326.0,147.0,333.0,124.0,356.0,147.0,363.0,139.0,310.0,139.0,378.0,139.0,363.0,139.0,333.0
124.0,326.0,147.0,333.0,124.0,363.0,147.0,363.0,139.0,311.0,132.0,385.0,132.0,371.0,132.0,333.0
124.0,326.0,147.0,333.0,124.0,363.0,147.0,370.0,139.0,311.0,139.0,386.0,132.0,371.0,139.0,341.0
124.0,333.0,147.0,333.0,124.0,363.0,147.0,371.0,139.0,311.0,139.0,386.0,139.0,371.0,139.0,341.0
124.0,333.0,147.0,333.0,131.0,371.0,148.0,371.0,139.0,318.0,140.0,386.0,139.0,371.0,139.0,348.0
124.0,341.0,147.0,340.0,131.0,371.0,148.0,371.0,139.0,318.0,140.0,386.0,139.0,371.0,139.0,348.0
124.0,341.0,148.0,341.0,131.0,371.0,148.0,371.0,139.0,319.0,139.0,393.0,139.0,378.0,139.0,348.0
124.0,341.0,148.0,341.0,131.0,371.0,148.0,371.0,139.0,325.0,139.0,393.0,139.0,378.0,139.0,348.0
124.0,341.0,148.0,341.0,131.0,371.0,148.0,371.0,139.0,325.0,139.0,393.0,139.0,378.0,139.0,348.0
124.0,341.0,148.0,341.0,131.0,371.0,148.0,371.0,139.0,326.0,139.0,393.0,139.0,378.0,139.0,349.0
124.0,348.0,148.0,341.0,131.0,378.0,148.0,371.0,139.0,326.0,140.0,393.0,139.0,378.0,139.0,349.0
124.0,348.0,148.0,341.0,131.0,378.0,148.0,378.0,139.0,326.0,140.0,394.0,139.0,378.0,139.0,355.0
